location,latitude,longitude
BUANGKOK MRT STATION,1.383694172,103.89305
SENGKANG MRT STATION,1.391694059,103.8954845
PUNGGOL MRT STATION,1.404838148,103.9022212
BRAS BASAH MRT STATION,1.296859515,103.850752
ESPLANADE MRT STATION,1.293375905,103.8553326
PROMENADE MRT STATION,1.293490697,103.8606648
NICOLL HIGHWAY MRT STATION,1.299667633,103.8638074
STADIUM MRT STATION,1.302812468,103.8753377
MOUNTBATTEN MRT STATION,1.306154061,103.8830451
DAKOTA MRT STATION,1.308431443,103.8892682
MACPHERSON MRT STATION,1.326839632,103.8900079
TAI SENG MRT STATION,1.335221039,103.8883492
BARTLEY MRT STATION,1.342445438,103.8801971
LORONG CHUAN MRT STATION,1.351531286,103.8648122
MARYMOUNT MRT STATION,1.348707263,103.8394231
CALDECOTT MRT STATION,1.337347223,103.8395441
BUKIT BROWN MRT STATION,1.333728883,103.8306895
BOTANIC GARDENS MRT STATION,1.322386995,103.8153855
FARRER ROAD MRT STATION,1.317439152,103.8073792
HOLLAND VILLAGE MRT STATION,1.312240297,103.7963991
ONE-NORTH MRT STATION,1.299759878,103.7874575
KENT RIDGE MRT STATION,1.293536986,103.7845724
HAW PAR VILLA MRT STATION,1.281956887,103.781989
PASIR PANJANG MRT STATION,1.276213522,103.7913503
LABRADOR PARK MRT STATION,1.272368386,103.8034162
TELOK BLANGAH MRT STATION,1.270706477,103.8097616
BAYFRONT MRT STATION,1.281873789,103.8590798
BUKIT PANJANG MRT STATION,1.379561212,103.7611889
CASHEW MRT STATION,1.369846014,103.7643151
HILLVIEW MRT STATION,1.362888457,103.7677809
BEAUTY WORLD MRT STATION,1.34090149,103.7757467
KING ALBERT PARK MRT STATION|,1.335778129,103.7833175
SIXTH AVENUE MRT STATION,1.330909113,103.7969381
TAN KAH KEE MRT STATION,1.326392241,103.8065482
STEVENS MRT STATION,1.319699966,103.8257957
ROCHOR MRT STATION,1.303852185,103.8527694
DOWNTOWN MRT STATION,1.27944619,103.8528404
TELOK AYER MRT STATION,1.282068948,103.8486488
FORT CANNING MRT STATION,1.292481237,103.8443311
BENCOOLEN MRT STATION,1.298918434,103.8503538
JALAN BESAR MRT STATION,1.305171388,103.8552957
BENDEMEER MRT STATION,1.313672528,103.8629776
GEYLANG BAHRU MRT STATION,1.321301102,103.8716226
MATTAR MRT STATION,1.326876715,103.8832475
UBI MRT STATION,1.329974629,103.8992267
KAKI BUKIT MRT STATION,1.334967302,103.9084597
BEDOK NORTH MRT STATION,1.334742117,103.9179783
BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346
TAMPINES WEST MRT STATION,1.345515306,103.938437
TAMPINES EAST MRT STATION,1.356191483,103.9546345
UPPER CHANGI MRT STATION,1.341739784,103.9614726
WOODLANDS NORTH MRT STATION,1.448292453,103.7856927
WOODLANDS SOUTH MRT STATION,1.427433416,103.7932446
SPRINGLEAF MRT STATION,1.397581061,103.8178569
LENTOR MRT STATION,1.38550658,103.8357438
MAYFLOWER MRT STATION,1.371463188,103.8365678
BRIGHT HILL MRT STATION,1.363484337,103.8331251
UPPER THOMSON MRT STATION,1.354416434,103.8328985
